-0.0674 1.0522   -2.5024 3.1128 -1.1292   0.004502
-0.0518 0.0664 1.0051   1.7395 -0.8240 0.6409   0.1018 -0.0671 1.0542   -2.3804 2.9602 -1.1292   0.004502
-0.0500 0.0676 1.0071   1.6479 -0.8850 0.6104   0.1035 -0.0671 1.0569   -2.3193 2.9907 -1.1292   0.004501
-0.0486 0.0662 1.0059   1.5564 -0.5493 0.4578   0.1035 -0.0679 1.0557   -2.3804 3.0212 -1.1292   0.004502
-0.0491 0.0698 1.0042   1.5869 -0.1526 0.5188   0.1035 -0.0681 1.0540   -2.4414 2.9602 -1.1902   0.004501
-0.0491 0.0708 1.0022   1.4954 0.1831 0.3967   0.1021 -0.0664 1.0549   -2.3499 2.8992 -1.2817   0.004502
-0.0483 0.0674 1.0049   1.3428 0.2441 0.3357   0.1021 -0.0674 1.0530   -2.5024 2.9907 -1.2512   0.004496
-0.0508 0.0688 1.0044   1.2817 0.3052 0.3967   0.1018 -0.0662 1.0513   -2.4109 3.0823 -1.1902   0.004494
-0.0498 0.0674 1.0088   1.3733 0.5188 0.3662   0.1013 -0.0649 1.0515   -2.3193 2.9907 -1.1902   0.004494
-0.0503 0.0671 1.0068   1.4343 0.6409 0.2136   0.1040 -0.0669 1.0518   -2.3499 2.9602 -1.1902   0.004494
-0.0503 0.0698 1.0078   1.3428 0.9155 0.1831   0.1018 -0.0674 1.0491   -2.4414 2.9602 -1.1597   0.004493
-0.0508 0.0664 1.0056   1.2817 1.0376 0.1831   0.1033 -0.0686 1.0518   -2.4414 3.0212 -1.0986   0.004494
-0.0525 0.0671 1.0073   1.3733 0.9766 0.1526   0.1033 -0.0688 1.0527   -2.3804 2.9907 -0.9766   0.004494
-0.0491 0.0654 1.0100   1.4343 1.0376 0.3052   0.1013 -0.0691 1.0518   -2.3804 3.0518 -0.9766   0.004494
-0.0530 0.0688 1.0071   1.3733 0.7629 0.3357   0.1038 -0.0664 1.0542   -2.3804 3.1128 -1.1292   0.004494
-0.0542 0.0684 1.0098   1.4648 0.5493 0.4272   0.1040 -0.0667 1.0552   -2.2278 2.9907 -1.1292   0.004494
-0.0542 0.0667 1.0059   1.3733 0.3662 0.3357   0.1033 -0.0662 1.0522   -2.3804 3.0518 -1.0376   0.004494
-0.0540 0.0669 1.0056   1.3733 0.1526 0.4883   0.1021 -0.0664 1.0505   -2.5024 3.0823 -1.0986   0.004493
-0.0535 0.0671 1.0059   1.3733 0.0610 0.4883   0.1030 -0.0688 1.0493   -2.3499 3.1128 -1.1292   0.004494
-0.0537 0.0681 1.0073   1.4648 -0.0305 0.5188   0.1042 -0.0693 1.0525   -2.2583 3.2349 -1.0071   0.004494
-0.0535 0.0676 1.0054 .4648 -0.0916 0.5493   0.1011 -0.0645 1.0547   -2.3499 3.0823 -1.0681   0.004500
-0.0535 0.0676 1.0061   1.5259 -0.3967 0.5493   0.1030 -0.0671 1.0510   -2.4719 3.0212 -1.0681   0.004485
-0.0530 0.0681 1.0066   1.4954 -0.4578 0.4578   0.1042 -0.0681 1.0481   -2.5330 2.9297 -1.0986   0.004499
-0.0518 0.0684 1.0071   1.5564 -0.4883 0.5188   0.1038 -0.0667 1.0505   -2.4719 2.9907 -1.1902   0.004501
