Round, Times, Rst_start, Rst_end, Act_start, Act_end, Tar_start, Tar_end, timestamp
Round, Times, Rst_start, Rst_end, Act_start, Act_end, Tar_start, Tar_end, timestamp
180,1,1700031575844,1700031583518,1700031586808,1700031590795,1700031591808,1700031599489,1700031605613
180,2,1700031605618,1700031613299,1700031617568,1700031620464,1700031621506,1700031629166,1700031635094
180,3,1700031635101,1700031642759,1700031646994,1700031651767,1700031652784,1700031660450,1700031666077
180,4,1700031666083,1700031673758,1700031677954,1700031682436,1700031683461,1700031691129,1700031695652
180,5,1700031695659,1700031703301,1700031707681,1700031710679,1700031711699,1700031719390,1700031724061
180,6,1700031724066,1700031731738,1700031735425,1700031737561,1700031738575,1700031746252,1700031750620
180,7,1700031750631,1700031758286,1700031764940,1700031767710,1700031768726,1700031776418,1700031784597
180,8,1700031784603,1700031792348,1700031796131,1700031799818,1700031800843,1700031808519,1700031812757
180,9,1700031812762,1700031820446,1700031824933,1700031832002,1700031833021,1700031840683,1700031845509
180,10,1700031845517,1700031853214,1700031857018,1700031859889,1700031860935,1700031868636,1700031871790
90,1,1700031874261,1700031881927,1700031885953,1700031889941,1700031890961,1700031898639,1700031903380
90,2,1700031903387,1700031911071,1700031915642,1700031922255,1700031923268,1700031930959,1700031938388
90,3,1700031938394,1700031946085,1700031950847,1700031955054,1700031956077,1700031963794,1700031967725
90,4,1700031967731,1700031975409,1700031979649,1700031983018,1700031984034,1700031991692,1700031995277
90,5,1700031995283,1700032002951,1700032006559,1700032011217,1700032012233,1700032019928,1700032024492
90,6,1700032024497,1700032032169,1700032035783,1700032039984,1700032041003,1700032048688,1700032052768
90,7,1700032052775,1700032060471,1700032064148,1700032067039,1700032068052,1700032075741,1700032079721
90,8,1700032079725,1700032087426,1700032091941,1700032095644,1700032096661,1700032104324,1700032108341
90,9,1700032108346,1700032116029,1700032119705,1700032124003,1700032125028,1700032132727,1700032137005
90,10,1700032137012,1700032144729,1700032149664,1700032152922,1700032153976,1700032161665,1700032166109
30,1,1700032170019,1700032177698,1700032181580,1700032186204,1700032187227,1700032194900,1700032197757
30,2,1700032197762,1700032205411,1700032209002,1700032213242,1700032214259,1700032221924,1700032225949
30,3,1700032225955,1700032233634,1700032238223,1700032241202,1700032242253,1700032249930,1700032255604
30,4,1700032255613,1700032263305,1700032268094,1700032271031,1700032272050,1700032279726,1700032282801
30,5,1700032282808,1700032290484,1700032294462,1700032297629,1700032298651,1700032306318,1700032310124
30,6,1700032310132,1700032317795,1700032321211,1700032323865,1700032324889,1700032332562,1700032340247
30,7,1700032340253,1700032347928,1700032351617,1700032354774,1700032355799,1700032363496,1700032368396
30,8,1700032368405,1700032376075,1700032379851,1700032383511,1700032384529,1700032392211,1700032395952
30,9,1700032395957,1700032403634,1700032408144,1700032412460,1700032413511,1700032421173,1700032424134
30,10,1700032424141,1700032431810,1700032435487,1700032439361,1700032440376,1700032448090,1700032450492
