Id,Group,Value
1,Con,0.3446
2,Con,0.3435
3,Con,0.3153
4,Con,0.2325
5,Con,0.3084
6,Con,0.4112
7,Con,0.2845
8,Con,0.2803
9,Con,0.1688
10,Con,0.1172
11,Con,0.1379
12,Con,0.3661
13,Con,0.2288
14,Con,0.2218
15,Con,0.2701
16,Con,0.3915
17,Con,0.3166
18,Con,0.1233
19,Con,0.245
20,Con,0.101
21,Con,0.0683
22,Con,0.0461
23,Con,0.3321
24,Con,0.0446
25,Con,0.2586
26,Con,0.2742
27,Con,0.3259
28,Con,0.2276
29,Con,0.3165
30,Con,0.1558
31,Con,0.3119
32,Con,0.157
33,Con,0.0631
34,Con,0.2131
35,Unc,0.244
36,Unc,0.1683
37,Unc,0.2457
38,Unc,0.1827
39,Unc,0.1812
40,Unc,0.2777
41,Unc,0.1713
42,Unc,0.2568
43,Unc,0.1762
44,Unc,0.1286
45,Unc,0.0365
46,Unc,0.2453
47,Unc,0.0212
48,Unc,0.2233
49,Unc,0.3116
50,Unc,0.2851
51,Unc,0.1468
52,Unc,0.1899
53,Unc,0.2153
54,Unc,0.146
55,Unc,0.0268
56,Unc,0.027
57,Unc,0.2922
58,Unc,0.0211
59,Unc,0.0801
60,Unc,0.2705
61,Unc,0.4215
62,Unc,0.176
63,Unc,0.1432
64,Unc,0.2039
65,Unc,0.3141
66,Unc,0.23
67,Unc,0.1216
68,Unc,0.0864
