Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.9918,0.0112823529411764705882352941,55.5
2,Con,0.9887,0.0081823529411764705882352941,49.5
3,Con,0.9937,0.0131823529411764705882352941,63
4,Con,0.9921,0.0115823529411764705882352941,57
5,Con,0.982,0.0014823529411764705882352941,31
6,Con,0.9859,0.0053823529411764705882352941,45
7,Con,0.9748,-0.0057176470588235294117647059,20
8,Con,0.9834,0.0028823529411764705882352941,37
9,Con,0.9808,0.0002823529411764705882352941,28
10,Con,0.9932,0.0126823529411764705882352941,60
11,Con,0.9722,-0.0083176470588235294117647059,16
12,Con,0.9947,0.0141823529411764705882352941,65
13,Con,0.9871,0.0065823529411764705882352941,46
14,Con,0.9917,0.0111823529411764705882352941,53.5
15,Con,0.9781,-0.0024176470588235294117647059,25
16,Con,0.9682,-0.0123176470588235294117647059,12
17,Con,0.9886,0.0080823529411764705882352941,48
18,Con,0.983,0.0024823529411764705882352941,35
19,Con,0.9853,0.0047823529411764705882352941,43
20,Con,0.9679,-0.0126176470588235294117647059,10.5
21,Con,0.9818,0.0012823529411764705882352941,30
22,Con,0.9806,0.0000823529411764705882352941,26.5
23,Con,0.9638,-0.0167176470588235294117647059,7
24,Con,0.9589,-0.0216176470588235294117647059,5
25,Con,0.9516,-0.0289176470588235294117647059,2
26,Con,0.9568,-0.0237176470588235294117647059,4
27,Con,0.9667,-0.0138176470588235294117647059,9
28,Con,0.9515,-0.0290176470588235294117647059,1
29,Con,0.953,-0.0275176470588235294117647059,3
30,Con,0.974,-0.0065176470588235294117647059,18.5
31,Con,0.9714,-0.0091176470588235294117647059,14
32,Con,0.9616,-0.0189176470588235294117647059,6
33,Con,0.9806,0.0000823529411764705882352941,26.5
34,Con,0.9679,-0.0126176470588235294117647059,10.5
35,Unc,0.9954,0.0148823529411764705882352941,67
36,Unc,0.9842,0.0036823529411764705882352941,39.5
37,Unc,0.9949,0.0143823529411764705882352941,66
38,Unc,0.9935,0.0129823529411764705882352941,61
39,Unc,0.9833,0.0027823529411764705882352941,36
40,Unc,0.9918,0.0112823529411764705882352941,55.5
41,Unc,0.9842,0.0036823529411764705882352941,39.5
42,Unc,0.9931,0.0125823529411764705882352941,59
43,Unc,0.9811,0.0005823529411764705882352941,29
44,Unc,0.9969,0.0163823529411764705882352941,68
45,Unc,0.9858,0.0052823529411764705882352941,44
46,Unc,0.9943,0.0137823529411764705882352941,64
47,Unc,0.9917,0.0111823529411764705882352941,53.5
48,Unc,0.9922,0.0116823529411764705882352941,58
49,Unc,0.9826,0.0020823529411764705882352941,33
50,Unc,0.9716,-0.0089176470588235294117647059,15
51,Unc,0.9936,0.0130823529411764705882352941,62
52,Unc,0.9911,0.0105823529411764705882352941,52
53,Unc,0.9899,0.0093823529411764705882352941,51
54,Unc,0.9693,-0.0112176470588235294117647059,13
55,Unc,0.9843,0.0037823529411764705882352941,41
56,Unc,0.9829,0.0023823529411764705882352941,34
57,Unc,0.9773,-0.0032176470588235294117647059,24
58,Unc,0.974,-0.0065176470588235294117647059,18.5
59,Unc,0.9758,-0.0047176470588235294117647059,22
60,Unc,0.9771,-0.0034176470588235294117647059,23
61,Unc,0.9751,-0.0054176470588235294117647059,21
62,Unc,0.9731,-0.0074176470588235294117647059,17
63,Unc,0.9644,-0.0161176470588235294117647059,8
64,Unc,0.9887,0.0081823529411764705882352941,49.5
65,Unc,0.9824,0.0018823529411764705882352941,32
66,Unc,0.9852,0.0046823529411764705882352941,42
67,Unc,0.9873,0.0067823529411764705882352941,47
68,Unc,0.9837,0.0031823529411764705882352941,38
