Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.0926,-0.0175823529411764705882352941,31.5
2,Con,0.0252,-0.0849823529411764705882352941,5.5
3,Con,0.137,0.0268176470588235294117647059,48
4,Con,0.0572,-0.0529823529411764705882352941,21
5,Con,0.0641,-0.0460823529411764705882352941,25
6,Con,0.1336,0.0234176470588235294117647059,47
7,Con,0.0551,-0.0550823529411764705882352941,17
8,Con,0.1214,0.0112176470588235294117647059,41
9,Con,0.1065,-0.0036823529411764705882352941,35
10,Con,0.1836,0.0734176470588235294117647059,58
11,Con,0.1139,0.0037176470588235294117647059,37
12,Con,0.0498,-0.0603823529411764705882352941,14
13,Con,0.0288,-0.0813823529411764705882352941,8
14,Con,0.0541,-0.0560823529411764705882352941,16
15,Con,0.0613,-0.0488823529411764705882352941,22
16,Con,0.1305,0.0203176470588235294117647059,46
17,Con,0.0252,-0.0849823529411764705882352941,5.5
18,Con,0.0808,-0.0293823529411764705882352941,27
19,Con,0.0209,-0.0892823529411764705882352941,2
20,Con,0.0335,-0.0766823529411764705882352941,9
21,Con,0.1289,0.0187176470588235294117647059,43
22,Con,0.0926,-0.0175823529411764705882352941,31.5
23,Con,0.1447,0.0345176470588235294117647059,51
24,Con,0.077,-0.0331823529411764705882352941,26
25,Con,0.2001,0.0899176470588235294117647059,63
26,Con,0.1083,-0.0018823529411764705882352941,36
27,Con,0.1981,0.0879176470588235294117647059,61
28,Con,0.1402,0.0300176470588235294117647059,49
29,Con,0.1899,0.0797176470588235294117647059,60
30,Con,0.1716,0.0614176470588235294117647059,56
31,Con,0.1689,0.0587176470588235294117647059,55
32,Con,0.232,0.1218176470588235294117647059,66
33,Con,0.0375,-0.0726823529411764705882352941,13
34,Con,0.3276,0.2174176470588235294117647059,68
35,Unc,0.087,-0.0231823529411764705882352941,29
36,Unc,0.0224,-0.0877823529411764705882352941,3
37,Unc,0.121,0.0108176470588235294117647059,40
38,Unc,0.0524,-0.0577823529411764705882352941,15
39,Unc,0.063,-0.0471823529411764705882352941,24
40,Unc,0.1304,0.0202176470588235294117647059,45
41,Unc,0.0346,-0.0755823529411764705882352941,11
42,Unc,0.1144,0.0042176470588235294117647059,38
43,Unc,0.1049,-0.0052823529411764705882352941,34
44,Unc,0.1826,0.0724176470588235294117647059,57
45,Unc,0.1201,0.0099176470588235294117647059,39
46,Unc,0.0554,-0.0547823529411764705882352941,18
47,Unc,0.0248,-0.0853823529411764705882352941,4
48,Unc,0.0569,-0.0532823529411764705882352941,20
49,Unc,0.0623,-0.0478823529411764705882352941,23
50,Unc,0.1296,0.0194176470588235294117647059,44
51,Unc,0.0266,-0.0835823529411764705882352941,7
52,Unc,0.0839,-0.0262823529411764705882352941,28
53,Unc,0.02,-0.0901823529411764705882352941,1
54,Unc,0.0336,-0.0765823529411764705882352941,10
55,Unc,0.1252,0.0150176470588235294117647059,42
56,Unc,0.0884,-0.0217823529411764705882352941,30
57,Unc,0.1529,0.0427176470588235294117647059,52
58,Unc,0.0555,-0.0546823529411764705882352941,19
59,Unc,0.2018,0.0916176470588235294117647059,64
60,Unc,0.1048,-0.0053823529411764705882352941,33
61,Unc,0.1991,0.0889176470588235294117647059,62
62,Unc,0.1407,0.0305176470588235294117647059,50
63,Unc,0.1885,0.0783176470588235294117647059,59
64,Unc,0.1662,0.0560176470588235294117647059,54
65,Unc,0.1626,0.0524176470588235294117647059,53
66,Unc,0.2284,0.1182176470588235294117647059,65
67,Unc,0.0355,-0.0746823529411764705882352941,12
68,Unc,0.3244,0.2142176470588235294117647059,67
