Id,Group,Value
1,Con,0.9918
2,Con,0.9887
3,Con,0.9937
4,Con,0.9921
5,Con,0.982
6,Con,0.9859
7,Con,0.9748
8,Con,0.9834
9,Con,0.9808
10,Con,0.9932
11,Con,0.9722
12,Con,0.9947
13,Con,0.9871
14,Con,0.9917
15,Con,0.9781
16,Con,0.9682
17,Con,0.9886
18,Con,0.983
19,Con,0.9853
20,Con,0.9679
21,Con,0.9818
22,Con,0.9806
23,Con,0.9638
24,Con,0.9589
25,Con,0.9516
26,Con,0.9568
27,Con,0.9667
28,Con,0.9515
29,Con,0.953
30,Con,0.974
31,Con,0.9714
32,Con,0.9616
33,Con,0.9806
34,Con,0.9679
35,Unc,0.9954
36,Unc,0.9842
37,Unc,0.9949
38,Unc,0.9935
39,Unc,0.9833
40,Unc,0.9918
41,Unc,0.9842
42,Unc,0.9931
43,Unc,0.9811
44,Unc,0.9969
45,Unc,0.9858
46,Unc,0.9943
47,Unc,0.9917
48,Unc,0.9922
49,Unc,0.9826
50,Unc,0.9716
51,Unc,0.9936
52,Unc,0.9911
53,Unc,0.9899
54,Unc,0.9693
55,Unc,0.9843
56,Unc,0.9829
57,Unc,0.9773
58,Unc,0.974
59,Unc,0.9758
60,Unc,0.9771
61,Unc,0.9751
62,Unc,0.9731
63,Unc,0.9644
64,Unc,0.9887
65,Unc,0.9824
66,Unc,0.9852
67,Unc,0.9873
68,Unc,0.9837
