Id,Group,Value
1,Con,0.9669
2,Con,0.9734
3,Con,0.9838
4,Con,0.9716
5,Con,0.9757
6,Con,0.9835
7,Con,0.9632
8,Con,0.9796
9,Con,0.9848
10,Con,0.9857
11,Con,0.9878
12,Con,0.9587
13,Con,0.9825
14,Con,0.9759
15,Con,0.9528
16,Con,0.9732
17,Con,0.9819
18,Con,0.9712
19,Con,0.9798
20,Con,0.9616
21,Con,0.967
22,Con,0.9795
23,Con,0.9659
24,Con,0.9425
25,Con,0.9632
26,Con,0.9517
27,Con,0.9691
28,Con,0.9793
29,Con,0.9362
30,Con,0.9831
31,Con,0.9731
32,Con,0.9596
33,Con,0.9785
34,Con,0.9689
35,Unc,0.9661
36,Unc,0.9807
37,Unc,0.9857
38,Unc,0.9648
39,Unc,0.9785
40,Unc,0.9839
41,Unc,0.9675
42,Unc,0.9814
43,Unc,0.9843
44,Unc,0.9887
45,Unc,0.9849
46,Unc,0.9639
47,Unc,0.979
48,Unc,0.9745
49,Unc,0.9544
50,Unc,0.9746
51,Unc,0.979
52,Unc,0.9691
53,Unc,0.976
54,Unc,0.9626
55,Unc,0.9735
56,Unc,0.978
57,Unc,0.9689
58,Unc,0.948
59,Unc,0.9602
60,Unc,0.9565
61,Unc,0.9729
62,Unc,0.9795
63,Unc,0.9419
64,Unc,0.9847
65,Unc,0.9742
66,Unc,0.9618
67,Unc,0.9817
68,Unc,0.9678
