Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0,-0.0268235294117647058823529412,17.5
2,Con,0,-0.0268235294117647058823529412,17.5
3,Con,0,-0.0268235294117647058823529412,17.5
4,Con,0,-0.0268235294117647058823529412,17.5
5,Con,0,-0.0268235294117647058823529412,17.5
6,Con,0,-0.0268235294117647058823529412,17.5
7,Con,0,-0.0268235294117647058823529412,17.5
8,Con,0,-0.0268235294117647058823529412,17.5
9,Con,0,-0.0268235294117647058823529412,17.5
10,Con,0,-0.0268235294117647058823529412,17.5
11,Con,0,-0.0268235294117647058823529412,17.5
12,Con,0,-0.0268235294117647058823529412,17.5
13,Con,0,-0.0268235294117647058823529412,17.5
14,Con,0,-0.0268235294117647058823529412,17.5
15,Con,0,-0.0268235294117647058823529412,17.5
16,Con,0,-0.0268235294117647058823529412,17.5
17,Con,0,-0.0268235294117647058823529412,17.5
18,Con,0,-0.0268235294117647058823529412,17.5
19,Con,0,-0.0268235294117647058823529412,17.5
20,Con,0,-0.0268235294117647058823529412,17.5
21,Con,0,-0.0268235294117647058823529412,17.5
22,Con,0,-0.0268235294117647058823529412,17.5
23,Con,0,-0.0268235294117647058823529412,17.5
24,Con,0,-0.0268235294117647058823529412,17.5
25,Con,0,-0.0268235294117647058823529412,17.5
26,Con,0,-0.0268235294117647058823529412,17.5
27,Con,0,-0.0268235294117647058823529412,17.5
28,Con,0,-0.0268235294117647058823529412,17.5
29,Con,0,-0.0268235294117647058823529412,17.5
30,Con,0,-0.0268235294117647058823529412,17.5
31,Con,0,-0.0268235294117647058823529412,17.5
32,Con,0,-0.0268235294117647058823529412,17.5
33,Con,0,-0.0268235294117647058823529412,17.5
34,Con,0,-0.0268235294117647058823529412,17.5
35,Unc,0.0074,-0.0194235294117647058823529412,38
36,Unc,0.1204,0.0935764705882352941176470588,65
37,Unc,0.0269,0.0000764705882352941176470588,49
38,Unc,0.0132,-0.0136235294117647058823529412,47
39,Unc,0.0084,-0.0184235294117647058823529412,40
40,Unc,0.0057,-0.0211235294117647058823529412,36
41,Unc,0.0396,0.0127764705882352941176470588,52
42,Unc,0.009,-0.0178235294117647058823529412,41
43,Unc,0.0063,-0.0205235294117647058823529412,37
44,Unc,0.0127,-0.0141235294117647058823529412,46
45,Unc,0.0409,0.0140764705882352941176470588,53
46,Unc,0.0201,-0.0067235294117647058823529412,48
47,Unc,0.0322,0.0053764705882352941176470588,50
48,Unc,0.0108,-0.0160235294117647058823529412,44
49,Unc,0.0107,-0.0161235294117647058823529412,43
50,Unc,0.0103,-0.0165235294117647058823529412,42
51,Unc,0.071,0.0441764705882352941176470588,57
52,Unc,0.0056,-0.0212235294117647058823529412,35
53,Unc,0.0582,0.0313764705882352941176470588,55
54,Unc,0.0746,0.0477764705882352941176470588,58
55,Unc,0.0577,0.0308764705882352941176470588,54
56,Unc,0.1088,0.0819764705882352941176470588,62
57,Unc,0.0333,0.0064764705882352941176470588,51
58,Unc,0.1534,0.1265764705882352941176470588,67
59,Unc,0.1571,0.1302764705882352941176470588,68
60,Unc,0.1084,0.0815764705882352941176470588,61
61,Unc,0.0827,0.0558764705882352941176470588,60
62,Unc,0.0076,-0.0192235294117647058823529412,39
63,Unc,0.1156,0.0887764705882352941176470588,63
64,Unc,0.0762,0.0493764705882352941176470588,59
65,Unc,0.1436,0.1167764705882352941176470588,66
66,Unc,0.1171,0.0902764705882352941176470588,64
67,Unc,0.0121,-0.0147235294117647058823529412,45
68,Unc,0.0664,0.0395764705882352941176470588,56
