Id,Group,Value
1,Con,0.3447
2,Con,0.504
3,Con,0.2602
4,Con,0.3492
5,Con,0.1892
6,Con,0.3801
7,Con,0.2992
8,Con,0.1633
9,Con,0.1229
10,Con,0.1361
11,Con,0.0559
12,Con,0.1427
13,Con,0.3729
14,Con,0.0609
15,Con,0.179
16,Con,0.1444
17,Con,0.3268
18,Con,0.2185
19,Con,0.1885
20,Con,0.268
21,Con,0.1572
22,Con,0.0819
23,Con,0.1313
24,Con,0.0295
25,Con,0.4545
26,Con,0.0712
27,Con,0.1639
28,Con,0.1542
29,Con,0.4262
30,Con,0.2318
31,Con,0.1145
32,Con,0.1173
33,Con,0.176
34,Con,0.2569
35,Unc,0.3289
36,Unc,0.4602
37,Unc,0.2554
38,Unc,0.3443
39,Unc,0.2516
40,Unc,0.3492
41,Unc,0.2819
42,Unc,0.1772
43,Unc,0.3012
44,Unc,0.235
45,Unc,0.0754
46,Unc,0.5209
47,Unc,0.4077
48,Unc,0.0601
49,Unc,0.3099
50,Unc,0.4748
51,Unc,0.5434
52,Unc,0.2036
53,Unc,0.2718
54,Unc,0.251
55,Unc,0.299
56,Unc,0.0668
57,Unc,0.3122
58,Unc,0.0351
59,Unc,0.5839
60,Unc,0.0712
61,Unc,0.2561
62,Unc,0.5516
63,Unc,0.6021
64,Unc,0.1415
65,Unc,0.2904
66,Unc,0.2005
67,Unc,0.0776
68,Unc,0.3218
