Id,Group,Value
1,Con,0.9678
2,Con,0.9916
3,Con,0.9811
4,Con,0.9634
5,Con,0.9809
6,Con,0.9694
7,Con,0.9652
8,Con,0.9761
9,Con,0.941
10,Con,0.9836
11,Con,0.9626
12,Con,0.9908
13,Con,0.9687
14,Con,0.9817
15,Con,0.9673
16,Con,0.9922
17,Con,0.9752
18,Con,0.974
19,Con,0.9878
20,Con,0.9868
21,Con,0.9845
22,Con,0.9834
23,Con,0.9837
24,Con,0.9708
25,Con,0.9693
26,Con,0.9776
27,Con,0.9294
28,Con,0.9613
29,Con,0.9455
30,Con,0.9643
31,Con,0.9797
32,Con,0.9832
33,Con,0.9808
34,Con,0.9762
35,Unc,0.9404
36,Unc,0.976
37,Unc,0.9703
38,Unc,0.9573
39,Unc,0.9762
40,Unc,0.9349
41,Unc,0.9508
42,Unc,0.9558
43,Unc,0.9344
44,Unc,0.9681
45,Unc,0.9497
46,Unc,0.9902
47,Unc,0.9677
48,Unc,0.9797
49,Unc,0.9655
50,Unc,0.9888
51,Unc,0.9666
52,Unc,0.9715
53,Unc,0.9817
54,Unc,0.9869
55,Unc,0.982
56,Unc,0.9796
57,Unc,0.9704
58,Unc,0.9637
59,Unc,0.9418
60,Unc,0.9441
61,Unc,0.8889
62,Unc,0.9384
63,Unc,0.9
64,Unc,0.9638
65,Unc,0.9497
66,Unc,0.9511
67,Unc,0.9429
68,Unc,0.9036
