Id,Group,Value
1,Con,0.0747
2,Con,0.1433
3,Con,0.0909
4,Con,0.0835
5,Con,0.0959
6,Con,0.1103
7,Con,0.1527
8,Con,0.0426
9,Con,0.0821
10,Con,0.0111
11,Con,0.1497
12,Con,0.0758
13,Con,0.1004
14,Con,0.0878
15,Con,0.1357
16,Con,0.1999
17,Con,0.061
18,Con,0.0813
19,Con,0.0493
20,Con,0.2208
21,Con,0.1471
22,Con,0.153
23,Con,0.1357
24,Con,0.1896
25,Con,0.0512
26,Con,0.0789
27,Con,0.0228
28,Con,0.0228
29,Con,0.1732
30,Con,0.0849
31,Con,0.0723
32,Con,0.0725
33,Con,0.0256
34,Con,0.0067
35,Unc,0.0906
36,Unc,0.1455
37,Unc,0.0915
38,Unc,0.0621
39,Unc,0.0978
40,Unc,0.1044
41,Unc,0.164
42,Unc,0.0533
43,Unc,0.0699
44,Unc,0.0106
45,Unc,0.1473
46,Unc,0.0747
47,Unc,0.1015
48,Unc,0.0888
49,Unc,0.1329
50,Unc,0.2017
51,Unc,0.0588
52,Unc,0.0808
53,Unc,0.0539
54,Unc,0.2274
55,Unc,0.1448
56,Unc,0.148
57,Unc,0.1327
58,Unc,0.1793
59,Unc,0.0587
60,Unc,0.0693
61,Unc,0.0226
62,Unc,0.0208
63,Unc,0.1641
64,Unc,0.0721
65,Unc,0.068
66,Unc,0.0653
67,Unc,0.0275
68,Unc,0.0176
