Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.9897,0.0179647058823529411764705882,67
2,Con,0.9874,0.0156647058823529411764705882,63
3,Con,0.9801,0.0083647058823529411764705882,41.5
4,Con,0.9819,0.0101647058823529411764705882,47
5,Con,0.9778,0.0060647058823529411764705882,33
6,Con,0.9755,0.0037647058823529411764705882,31
7,Con,0.988,0.0162647058823529411764705882,64
8,Con,0.9845,0.0127647058823529411764705882,56
9,Con,0.9801,0.0083647058823529411764705882,41.5
10,Con,0.9533,-0.0184352941176470588235294118,12
11,Con,0.9851,0.0133647058823529411764705882,59
12,Con,0.983,0.0112647058823529411764705882,52.5
13,Con,0.9856,0.0138647058823529411764705882,60
14,Con,0.983,0.0112647058823529411764705882,52.5
15,Con,0.9458,-0.0259352941176470588235294118,5
16,Con,0.9788,0.0070647058823529411764705882,37
17,Con,0.9922,0.0204647058823529411764705882,68
18,Con,0.9794,0.0076647058823529411764705882,39
19,Con,0.9886,0.0168647058823529411764705882,65
20,Con,0.9847,0.0129647058823529411764705882,57
21,Con,0.979,0.0072647058823529411764705882,38
22,Con,0.9786,0.0068647058823529411764705882,36
23,Con,0.9738,0.0020647058823529411764705882,25
24,Con,0.952,-0.0197352941176470588235294118,10
25,Con,0.9591,-0.0126352941176470588235294118,15
26,Con,0.9754,0.0036647058823529411764705882,29.5
27,Con,0.9573,-0.0144352941176470588235294118,14
28,Con,0.9652,-0.0065352941176470588235294118,19
29,Con,0.9609,-0.0108352941176470588235294118,17
30,Con,0.9757,0.0039647058823529411764705882,32
31,Con,0.9658,-0.0059352941176470588235294118,20
32,Con,0.9593,-0.0124352941176470588235294118,16
33,Con,0.9834,0.0116647058823529411764705882,54
34,Con,0.9346,-0.0371352941176470588235294118,3
35,Unc,0.9843,0.0125647058823529411764705882,55
36,Unc,0.9821,0.0103647058823529411764705882,48
37,Unc,0.9805,0.0087647058823529411764705882,43
38,Unc,0.973,0.0012647058823529411764705882,24
39,Unc,0.9754,0.0036647058823529411764705882,29.5
40,Unc,0.9751,0.0033647058823529411764705882,28
41,Unc,0.9891,0.0173647058823529411764705882,66
42,Unc,0.9848,0.0130647058823529411764705882,58
43,Unc,0.9795,0.0077647058823529411764705882,40
44,Unc,0.9518,-0.0199352941176470588235294118,8
45,Unc,0.9826,0.0108647058823529411764705882,51
46,Unc,0.9822,0.0104647058823529411764705882,49
47,Unc,0.9824,0.0106647058823529411764705882,50
48,Unc,0.9816,0.0098647058823529411764705882,46
49,Unc,0.9456,-0.0261352941176470588235294118,4
50,Unc,0.9784,0.0066647058823529411764705882,35
51,Unc,0.9865,0.0147647058823529411764705882,62
52,Unc,0.9779,0.0061647058823529411764705882,34
53,Unc,0.9859,0.0141647058823529411764705882,61
54,Unc,0.9806,0.0088647058823529411764705882,44
55,Unc,0.9749,0.0031647058823529411764705882,27
56,Unc,0.9739,0.0021647058823529411764705882,26
57,Unc,0.9704,-0.0013352941176470588235294118,23
58,Unc,0.9021,-0.0696352941176470588235294118,1
59,Unc,0.948,-0.0237352941176470588235294118,6
60,Unc,0.9673,-0.0044352941176470588235294118,21
61,Unc,0.9541,-0.0176352941176470588235294118,13
62,Unc,0.9648,-0.0069352941176470588235294118,18
63,Unc,0.9519,-0.0198352941176470588235294118,9
64,Unc,0.9683,-0.0034352941176470588235294118,22
65,Unc,0.9529,-0.0188352941176470588235294118,11
66,Unc,0.9517,-0.0200352941176470588235294118,7
67,Unc,0.9807,0.0089647058823529411764705882,45
68,Unc,0.9331,-0.0386352941176470588235294118,2
