Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0,-0.0285191176470588235294117647,17.5
2,Con,0,-0.0285191176470588235294117647,17.5
3,Con,0,-0.0285191176470588235294117647,17.5
4,Con,0,-0.0285191176470588235294117647,17.5
5,Con,0,-0.0285191176470588235294117647,17.5
6,Con,0,-0.0285191176470588235294117647,17.5
7,Con,0,-0.0285191176470588235294117647,17.5
8,Con,0,-0.0285191176470588235294117647,17.5
9,Con,0,-0.0285191176470588235294117647,17.5
10,Con,0,-0.0285191176470588235294117647,17.5
11,Con,0,-0.0285191176470588235294117647,17.5
12,Con,0,-0.0285191176470588235294117647,17.5
13,Con,0,-0.0285191176470588235294117647,17.5
14,Con,0,-0.0285191176470588235294117647,17.5
15,Con,0,-0.0285191176470588235294117647,17.5
16,Con,0,-0.0285191176470588235294117647,17.5
17,Con,0,-0.0285191176470588235294117647,17.5
18,Con,0,-0.0285191176470588235294117647,17.5
19,Con,0,-0.0285191176470588235294117647,17.5
20,Con,0,-0.0285191176470588235294117647,17.5
21,Con,0,-0.0285191176470588235294117647,17.5
22,Con,0,-0.0285191176470588235294117647,17.5
23,Con,0,-0.0285191176470588235294117647,17.5
24,Con,0,-0.0285191176470588235294117647,17.5
25,Con,0,-0.0285191176470588235294117647,17.5
26,Con,0,-0.0285191176470588235294117647,17.5
27,Con,0,-0.0285191176470588235294117647,17.5
28,Con,0,-0.0285191176470588235294117647,17.5
29,Con,0,-0.0285191176470588235294117647,17.5
30,Con,0,-0.0285191176470588235294117647,17.5
31,Con,0,-0.0285191176470588235294117647,17.5
32,Con,0,-0.0285191176470588235294117647,17.5
33,Con,0,-0.0285191176470588235294117647,17.5
34,Con,0,-0.0285191176470588235294117647,17.5
35,Unc,0.0945,0.0659808823529411764705882353,64
36,Unc,0.0317,0.0031808823529411764705882353,47
37,Unc,0.0268,-0.0017191176470588235294117647,44
38,Unc,0.1206,0.0920808823529411764705882353,67
39,Unc,0.0529,0.0243808823529411764705882353,55
40,Unc,0.0093,-0.0192191176470588235294117647,36
41,Unc,0.0137,-0.0148191176470588235294117647,41
42,Unc,0.0234,-0.0051191176470588235294117647,43
43,Unc,0.0211,-0.0074191176470588235294117647,42
44,Unc,0.043,0.0144808823529411764705882353,52
45,Unc,0.0474,0.0188808823529411764705882353,53
46,Unc,0.0577,0.0291808823529411764705882353,56
47,Unc,0.0286,0.0000808823529411764705882353,45
48,Unc,0.0316,0.0030808823529411764705882353,46
49,Unc,0.009,-0.0195191176470588235294117647,35
50,Unc,0.0103,-0.0182191176470588235294117647,37.5
51,Unc,0.0815,0.0529808823529411764705882353,63
52,Unc,0.032,0.0034808823529411764705882353,48
53,Unc,0.0521,0.0235808823529411764705882353,54
54,Unc,0.0344,0.0058808823529411764705882353,49
55,Unc,0.0616,0.0330808823529411764705882353,57
56,Unc,0.0427,0.0141808823529411764705882353,51
57,Unc,0.1105,0.0819808823529411764705882353,66
58,Unc,0.3629,0.3343808823529411764705882353,68
59,Unc,0.076,0.0474808823529411764705882353,61
60,Unc,0.0634,0.0348808823529411764705882353,58
61,Unc,0.013,-0.0155191176470588235294117647,39
62,Unc,0.0131,-0.0154191176470588235294117647,40
63,Unc,0.073,0.0444808823529411764705882353,60
64,Unc,0.1049,0.0763808823529411764705882353,65
65,Unc,0.08,0.0514808823529411764705882353,62
66,Unc,0.0394,0.0108808823529411764705882353,50
67,Unc,0.0669,0.0383808823529411764705882353,59
68,Unc,0.0103,-0.0182191176470588235294117647,37.5
