Id,Group,Value
1,Con,0.0567
2,Con,0.0113
3,Con,0.1722
4,Con,0.0389
5,Con,0.0292
6,Con,0.0992
7,Con,0.1163
8,Con,0.1921
9,Con,0.0878
10,Con,0.2968
11,Con,0.1833
12,Con,0.4395
13,Con,0.0385
14,Con,0.2237
15,Con,0.103
16,Con,0.2492
17,Con,0.0281
18,Con,0.2277
19,Con,0.3714
20,Con,0.1582
21,Con,0.2993
22,Con,0.1176
23,Con,0.3767
24,Con,0.0734
25,Con,0.0941
26,Con,0.1827
27,Con,0.1398
28,Con,0.3811
29,Con,0.0336
30,Con,0.3453
31,Con,0.3584
32,Con,0.058
33,Con,0.3108
34,Con,0.1134
35,Unc,0.0069
36,Unc,0.0188
37,Unc,0.1561
38,Unc,0.0254
39,Unc,0.0554
40,Unc,0.0551
41,Unc,0.1068
42,Unc,0.1056
43,Unc,0.0858
44,Unc,0.486
45,Unc,0.163
46,Unc,0.6853
47,Unc,0.0211
48,Unc,0.1811
49,Unc,0.1126
50,Unc,0.5826
51,Unc,0.2507
52,Unc,0.2501
53,Unc,0.5503
54,Unc,0.2793
55,Unc,0.5748
56,Unc,0.1105
57,Unc,0.5237
58,Unc,0.1019
59,Unc,0.061
60,Unc,0.1661
61,Unc,0.1896
62,Unc,0.4372
63,Unc,0.1651
64,Unc,0.5796
65,Unc,0.5144
66,Unc,0.1037
67,Unc,0.4782
68,Unc,0.0927
