Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.494,0.2375485294117647058823529412,63
2,Con,0.5963,0.3398485294117647058823529412,68
3,Con,0.182,-0.0744514705882352941176470588,24
4,Con,0.4481,0.1916485294117647058823529412,61
5,Con,0.2905,0.0340485294117647058823529412,43
6,Con,0.4742,0.2177485294117647058823529412,62
7,Con,0.4326,0.1761485294117647058823529412,58
8,Con,0.2711,0.0146485294117647058823529412,41
9,Con,0.2092,-0.0472514705882352941176470588,29
10,Con,0.1983,-0.0581514705882352941176470588,28
11,Con,0.0765,-0.1799514705882352941176470588,8
12,Con,0.3069,0.0504485294117647058823529412,45
13,Con,0.342,0.0855485294117647058823529412,49
14,Con,0.0959,-0.1605514705882352941176470588,11
15,Con,0.3918,0.1353485294117647058823529412,54
16,Con,0.4406,0.1841485294117647058823529412,59
17,Con,0.2662,0.0097485294117647058823529412,40
18,Con,0.0556,-0.2008514705882352941176470588,4
19,Con,0.184,-0.0724514705882352941176470588,25
20,Con,0.1473,-0.1091514705882352941176470588,18
21,Con,0.2333,-0.0231514705882352941176470588,34.5
22,Con,0.0462,-0.2102514705882352941176470588,2
23,Con,0.2231,-0.0333514705882352941176470588,31
24,Con,0.0712,-0.1852514705882352941176470588,7
25,Con,0.5029,0.2464485294117647058823529412,64
26,Con,0.1088,-0.1476514705882352941176470588,13
27,Con,0.1789,-0.0775514705882352941176470588,23
28,Con,0.3106,0.0541485294117647058823529412,47
29,Con,0.1279,-0.1285514705882352941176470588,16
30,Con,0.1701,-0.0863514705882352941176470588,21
31,Con,0.1869,-0.0695514705882352941176470588,26
32,Con,0.2598,0.0033485294117647058823529412,37
33,Con,0.0877,-0.1687514705882352941176470588,10
34,Con,0.2431,-0.0133514705882352941176470588,36
35,Unc,0.4469,0.1904485294117647058823529412,60
36,Unc,0.5321,0.2756485294117647058823529412,67
37,Unc,0.1651,-0.0913514705882352941176470588,19
38,Unc,0.4033,0.1468485294117647058823529412,56
39,Unc,0.2612,0.0047485294117647058823529412,38
40,Unc,0.3926,0.1361485294117647058823529412,55
41,Unc,0.3893,0.1328485294117647058823529412,53
42,Unc,0.2333,-0.0231514705882352941176470588,34.5
43,Unc,0.3078,0.0513485294117647058823529412,46
44,Unc,0.0601,-0.1963514705882352941176470588,6
45,Unc,0.0488,-0.2076514705882352941176470588,3
46,Unc,0.3731,0.1166485294117647058823529412,52
47,Unc,0.2622,0.0057485294117647058823529412,39
48,Unc,0.1733,-0.0831514705882352941176470588,22
49,Unc,0.5094,0.2529485294117647058823529412,65
50,Unc,0.3373,0.0808485294117647058823529412,48
51,Unc,0.2713,0.0148485294117647058823529412,42
52,Unc,0.0778,-0.1786514705882352941176470588,9
53,Unc,0.2258,-0.0306514705882352941176470588,32
54,Unc,0.1303,-0.1261514705882352941176470588,17
55,Unc,0.1974,-0.0590514705882352941176470588,27
56,Unc,0.0595,-0.1969514705882352941176470588,5
57,Unc,0.356,0.0995485294117647058823529412,50
58,Unc,0.0276,-0.2288514705882352941176470588,1
59,Unc,0.3569,0.1004485294117647058823529412,51
60,Unc,0.1147,-0.1417514705882352941176470588,15
61,Unc,0.2287,-0.0277514705882352941176470588,33
62,Unc,0.515,0.2585485294117647058823529412,66
63,Unc,0.1653,-0.0911514705882352941176470588,20
64,Unc,0.3064,0.0499485294117647058823529412,44
65,Unc,0.2162,-0.0402514705882352941176470588,30
66,Unc,0.4261,0.1696485294117647058823529412,57
67,Unc,0.1028,-0.1536514705882352941176470588,12
68,Unc,0.1115,-0.1449514705882352941176470588,14
