Id,Group,Value
1,Con,0.0574
2,Con,0.1008
3,Con,0.0667
4,Con,0.1027
5,Con,0.0529
6,Con,0.0957
7,Con,0.1077
8,Con,0.0467
9,Con,0.1137
10,Con,0.0363
11,Con,0.0959
12,Con,0.1526
13,Con,0.0158
14,Con,0.1236
15,Con,0.1337
16,Con,0.0355
17,Con,0.1062
18,Con,0.0838
19,Con,0.1198
20,Con,0.2201
21,Con,0.046
22,Con,0.0902
23,Con,0.1823
24,Con,0.2636
25,Con,0.0846
26,Con,0.1767
27,Con,0.086
28,Con,0.0695
29,Con,0.2599
30,Con,0.1015
31,Con,0.115
32,Con,0.1943
33,Con,0.0549
34,Con,0.1192
35,Unc,0.0687
36,Unc,0.1109
37,Unc,0.0695
38,Unc,0.1156
39,Unc,0.0568
40,Unc,0.0976
41,Unc,0.1119
42,Unc,0.0715
43,Unc,0.1159
44,Unc,0.035
45,Unc,0.0937
46,Unc,0.1521
47,Unc,0.0152
48,Unc,0.1229
49,Unc,0.1328
50,Unc,0.0362
51,Unc,0.103
52,Unc,0.0852
53,Unc,0.118
54,Unc,0.2186
55,Unc,0.0491
56,Unc,0.0897
57,Unc,0.1841
58,Unc,0.2177
59,Unc,0.0791
60,Unc,0.1836
61,Unc,0.0886
62,Unc,0.0725
63,Unc,0.2613
64,Unc,0.0995
65,Unc,0.121
66,Unc,0.1981
67,Unc,0.0565
68,Unc,0.1163
