Id,Group,Value
1,Con,0.494
2,Con,0.5963
3,Con,0.182
4,Con,0.4481
5,Con,0.2905
6,Con,0.4742
7,Con,0.4326
8,Con,0.2711
9,Con,0.2092
10,Con,0.1983
11,Con,0.0765
12,Con,0.3069
13,Con,0.342
14,Con,0.0959
15,Con,0.3918
16,Con,0.4406
17,Con,0.2662
18,Con,0.0556
19,Con,0.184
20,Con,0.1473
21,Con,0.2333
22,Con,0.0462
23,Con,0.2231
24,Con,0.0712
25,Con,0.5029
26,Con,0.1088
27,Con,0.1789
28,Con,0.3106
29,Con,0.1279
30,Con,0.1701
31,Con,0.1869
32,Con,0.2598
33,Con,0.0877
34,Con,0.2431
35,Unc,0.4469
36,Unc,0.5321
37,Unc,0.1651
38,Unc,0.4033
39,Unc,0.2612
40,Unc,0.3926
41,Unc,0.3893
42,Unc,0.2333
43,Unc,0.3078
44,Unc,0.0601
45,Unc,0.0488
46,Unc,0.3731
47,Unc,0.2622
48,Unc,0.1733
49,Unc,0.5094
50,Unc,0.3373
51,Unc,0.2713
52,Unc,0.0778
53,Unc,0.2258
54,Unc,0.1303
55,Unc,0.1974
56,Unc,0.0595
57,Unc,0.356
58,Unc,0.0276
59,Unc,0.3569
60,Unc,0.1147
61,Unc,0.2287
62,Unc,0.515
63,Unc,0.1653
64,Unc,0.3064
65,Unc,0.2162
66,Unc,0.4261
67,Unc,0.1028
68,Unc,0.1115
