Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.0251,-0.0444279411764705882352941176,9
2,Con,0.0239,-0.0456279411764705882352941176,8
3,Con,0.0304,-0.0391279411764705882352941176,14
4,Con,0.0525,-0.0170279411764705882352941176,28
5,Con,0.1278,0.0582720588235294117647058824,60
6,Con,0.0498,-0.0197279411764705882352941176,27
7,Con,0.0702,0.0006720588235294117647058824,42
8,Con,0.0708,0.0012720588235294117647058824,43
9,Con,0.1519,0.0823720588235294117647058824,63
10,Con,0.0775,0.0079720588235294117647058824,45
11,Con,0.0253,-0.0442279411764705882352941176,10
12,Con,0.0532,-0.0163279411764705882352941176,29
13,Con,0.1027,0.0331720588235294117647058824,53
14,Con,0.0589,-0.0106279411764705882352941176,34
15,Con,0.0436,-0.0259279411764705882352941176,25
16,Con,0.107,0.0374720588235294117647058824,54
17,Con,0.0302,-0.0393279411764705882352941176,13
18,Con,0.0667,-0.0028279411764705882352941176,40
19,Con,0.0711,0.0015720588235294117647058824,44
20,Con,0.0639,-0.0056279411764705882352941176,38
21,Con,0.0307,-0.0388279411764705882352941176,15
22,Con,0.0405,-0.0290279411764705882352941176,24
23,Con,0.1597,0.0901720588235294117647058824,66
24,Con,0.1271,0.0575720588235294117647058824,59
25,Con,0.1101,0.0405720588235294117647058824,55
26,Con,0.1215,0.0519720588235294117647058824,57
27,Con,0.0401,-0.0294279411764705882352941176,23
28,Con,0.1964,0.1268720588235294117647058824,68
29,Con,0.0814,0.0118720588235294117647058824,46
30,Con,0.1304,0.0608720588235294117647058824,62
31,Con,0.1131,0.0435720588235294117647058824,56
32,Con,0.1724,0.1028720588235294117647058824,67
33,Con,0.0913,0.0217720588235294117647058824,51
34,Con,0.1531,0.0835720588235294117647058824,64
35,Unc,0.0207,-0.0488279411764705882352941176,7
36,Unc,0.0347,-0.0348279411764705882352941176,17
37,Unc,0.0086,-0.0609279411764705882352941176,2
38,Unc,0.0825,0.0129720588235294117647058824,48
39,Unc,0.1238,0.0542720588235294117647058824,58
40,Unc,0.0368,-0.0327279411764705882352941176,18
41,Unc,0.062,-0.0075279411764705882352941176,35
42,Unc,0.0908,0.0212720588235294117647058824,50
43,Unc,0.1536,0.0840720588235294117647058824,65
44,Unc,0.0627,-0.0068279411764705882352941176,37
45,Unc,0.0388,-0.0307279411764705882352941176,21
46,Unc,0.0541,-0.0154279411764705882352941176,30
47,Unc,0.0586,-0.0109279411764705882352941176,33
48,Unc,0.0382,-0.0313279411764705882352941176,20
49,Unc,0.0205,-0.0490279411764705882352941176,6
50,Unc,0.0864,0.0168720588235294117647058824,49
51,Unc,0.0201,-0.0494279411764705882352941176,4.5
52,Unc,0.0566,-0.0129279411764705882352941176,31
53,Unc,0.0944,0.0248720588235294117647058824,52
54,Unc,0.0484,-0.0211279411764705882352941176,26
55,Unc,0.0047,-0.0648279411764705882352941176,1
56,Unc,0.0282,-0.0413279411764705882352941176,11
57,Unc,0.0823,0.0127720588235294117647058824,47
58,Unc,0.0377,-0.0318279411764705882352941176,19
59,Unc,0.0688,-0.0007279411764705882352941176,41
60,Unc,0.0299,-0.0396279411764705882352941176,12
61,Unc,0.0621,-0.0074279411764705882352941176,36
62,Unc,0.1279,0.0583720588235294117647058824,61
63,Unc,0.0201,-0.0494279411764705882352941176,4.5
64,Unc,0.0395,-0.0300279411764705882352941176,22
65,Unc,0.0308,-0.0387279411764705882352941176,16
66,Unc,0.0645,-0.0050279411764705882352941176,39
67,Unc,0.0118,-0.0577279411764705882352941176,3
68,Unc,0.057,-0.0125279411764705882352941176,32
