Id,Group,Value
1,Con,0.0524
2,Con,0.0488
3,Con,0.0157
4,Con,0.0294
5,Con,0.0151
6,Con,0.0361
7,Con,0.0678
8,Con,0.0823
9,Con,0.0232
10,Con,0.0466
11,Con,0.1367
12,Con,0.0149
13,Con,0.0165
14,Con,0.0107
15,Con,0.0765
16,Con,0.0482
17,Con,0.0789
18,Con,0.0883
19,Con,0.0961
20,Con,0.0427
21,Con,0.0699
22,Con,0.0617
23,Con,0.0257
24,Con,0.0164
25,Con,0.1388
26,Con,0.1343
27,Con,0.0859
28,Con,0.0998
29,Con,0.11
30,Con,0.0053
31,Con,0.0382
32,Con,0.1059
33,Con,0.0523
34,Con,0.0087
35,Unc,0.0234
36,Unc,0.0959
37,Unc,0.0462
38,Unc,0.0186
39,Unc,0.0307
40,Unc,0.0481
41,Unc,0.0033
42,Unc,0.0226
43,Unc,0.0679
44,Unc,0.0181
45,Unc,0.0427
46,Unc,0.0328
47,Unc,0.0283
48,Unc,0.0524
49,Unc,0.0417
50,Unc,0.0194
51,Unc,0.0216
52,Unc,0.0207
53,Unc,0.0502
54,Unc,0.0212
55,Unc,0.0484
56,Unc,0.042
57,Unc,0.0026
58,Unc,0.0317
59,Unc,0.0104
60,Unc,0.0427
61,Unc,0.0351
62,Unc,0.0384
63,Unc,0.0166
64,Unc,0.0281
65,Unc,0.0402
66,Unc,0.0423
67,Unc,0.0273
68,Unc,0.0155
