Id,Group,Value
1,Con,0.91
2,Con,0.8137
3,Con,0.9469
4,Con,0.8953
5,Con,0.9197
6,Con,0.8453
7,Con,0.9209
8,Con,0.9557
9,Con,0.8098
10,Con,0.9374
11,Con,0.9735
12,Con,0.7448
13,Con,0.8553
14,Con,0.9078
15,Con,0.6813
16,Con,0.5753
17,Con,0.8028
18,Con,0.9452
19,Con,0.8986
20,Con,0.9135
21,Con,0.8528
22,Con,0.9614
23,Con,0.8488
24,Con,0.984
25,Con,0.6987
26,Con,0.9693
27,Con,0.79
28,Con,0.7263
29,Con,0.8044
30,Con,0.941
31,Con,0.8817
32,Con,0.8114
33,Con,0.9593
34,Con,0.8623
35,Unc,0.89
36,Unc,0.7763
37,Unc,0.9388
38,Unc,0.8962
39,Unc,0.9014
40,Unc,0.8425
41,Unc,0.908
42,Unc,0.9447
43,Unc,0.7148
44,Unc,0.8501
45,Unc,0.9539
46,Unc,0.6382
47,Unc,0.8075
48,Unc,0.8241
49,Unc,0.5928
50,Unc,0.7142
51,Unc,0.682
52,Unc,0.9196
53,Unc,0.8605
54,Unc,0.9065
55,Unc,0.7327
56,Unc,0.957
57,Unc,0.8732
58,Unc,0.9869
59,Unc,0.6812
60,Unc,0.9596
61,Unc,0.765
62,Unc,0.6938
63,Unc,0.6823
64,Unc,0.8538
65,Unc,0.8434
66,Unc,0.6061
67,Unc,0.8981
68,Unc,0.8763
