Id,Group,Value
1,Con,0.0926
2,Con,0.0252
3,Con,0.137
4,Con,0.0572
5,Con,0.0641
6,Con,0.1336
7,Con,0.0551
8,Con,0.1214
9,Con,0.1065
10,Con,0.1836
11,Con,0.1139
12,Con,0.0498
13,Con,0.0288
14,Con,0.0541
15,Con,0.0613
16,Con,0.1305
17,Con,0.0252
18,Con,0.0808
19,Con,0.0209
20,Con,0.0335
21,Con,0.1289
22,Con,0.0926
23,Con,0.1447
24,Con,0.077
25,Con,0.2001
26,Con,0.1083
27,Con,0.1981
28,Con,0.1402
29,Con,0.1899
30,Con,0.1716
31,Con,0.1689
32,Con,0.232
33,Con,0.0375
34,Con,0.3276
35,Unc,0.087
36,Unc,0.0224
37,Unc,0.121
38,Unc,0.0524
39,Unc,0.063
40,Unc,0.1304
41,Unc,0.0346
42,Unc,0.1144
43,Unc,0.1049
44,Unc,0.1826
45,Unc,0.1201
46,Unc,0.0554
47,Unc,0.0248
48,Unc,0.0569
49,Unc,0.0623
50,Unc,0.1296
51,Unc,0.0266
52,Unc,0.0839
53,Unc,0.02
54,Unc,0.0336
55,Unc,0.1252
56,Unc,0.0884
57,Unc,0.1529
58,Unc,0.0555
59,Unc,0.2018
60,Unc,0.1048
61,Unc,0.1991
62,Unc,0.1407
63,Unc,0.1885
64,Unc,0.1662
65,Unc,0.1626
66,Unc,0.2284
67,Unc,0.0355
68,Unc,0.3244
