Id,Group,Value
1,Con,0.8166
2,Con,0.7489
3,Con,0.9254
4,Con,0.863
5,Con,0.9251
6,Con,0.8009
7,Con,0.8651
8,Con,0.9124
9,Con,0.891
10,Con,0.8964
11,Con,0.9746
12,Con,0.6894
13,Con,0.9187
14,Con,0.8892
15,Con,0.8075
16,Con,0.7141
17,Con,0.9079
18,Con,0.9323
19,Con,0.854
20,Con,0.9124
21,Con,0.8558
22,Con,0.9676
23,Con,0.7362
24,Con,0.9848
25,Con,0.784
26,Con,0.9222
27,Con,0.8371
28,Con,0.5402
29,Con,0.9332
30,Con,0.8258
31,Con,0.8302
32,Con,0.9339
33,Con,0.9137
34,Con,0.8923
35,Unc,0.8702
36,Unc,0.8344
37,Unc,0.9471
38,Unc,0.8952
39,Unc,0.9511
40,Unc,0.8861
41,Unc,0.9052
42,Unc,0.9391
43,Unc,0.7881
44,Unc,0.7783
45,Unc,0.9831
46,Unc,0.3639
47,Unc,0.9613
48,Unc,0.9323
49,Unc,0.6601
50,Unc,0.4691
51,Unc,0.9033
52,Unc,0.9266
53,Unc,0.6501
54,Unc,0.8447
55,Unc,0.6641
56,Unc,0.9898
57,Unc,0.6861
58,Unc,0.9892
59,Unc,0.926
60,Unc,0.9244
61,Unc,0.6028
62,Unc,0.3942
63,Unc,0.9495
64,Unc,0.6179
65,Unc,0.6126
66,Unc,0.8266
67,Unc,0.8325
68,Unc,0.9855
