Id,Group,Value
1,Con,0.0251
2,Con,0.0239
3,Con,0.0304
4,Con,0.0525
5,Con,0.1278
6,Con,0.0498
7,Con,0.0702
8,Con,0.0708
9,Con,0.1519
10,Con,0.0775
11,Con,0.0253
12,Con,0.0532
13,Con,0.1027
14,Con,0.0589
15,Con,0.0436
16,Con,0.107
17,Con,0.0302
18,Con,0.0667
19,Con,0.0711
20,Con,0.0639
21,Con,0.0307
22,Con,0.0405
23,Con,0.1597
24,Con,0.1271
25,Con,0.1101
26,Con,0.1215
27,Con,0.0401
28,Con,0.1964
29,Con,0.0814
30,Con,0.1304
31,Con,0.1131
32,Con,0.1724
33,Con,0.0913
34,Con,0.1531
35,Unc,0.0207
36,Unc,0.0347
37,Unc,0.0086
38,Unc,0.0825
39,Unc,0.1238
40,Unc,0.0368
41,Unc,0.062
42,Unc,0.0908
43,Unc,0.1536
44,Unc,0.0627
45,Unc,0.0388
46,Unc,0.0541
47,Unc,0.0586
48,Unc,0.0382
49,Unc,0.0205
50,Unc,0.0864
51,Unc,0.0201
52,Unc,0.0566
53,Unc,0.0944
54,Unc,0.0484
55,Unc,0.0047
56,Unc,0.0282
57,Unc,0.0823
58,Unc,0.0377
59,Unc,0.0688
60,Unc,0.0299
61,Unc,0.0621
62,Unc,0.1279
63,Unc,0.0201
64,Unc,0.0395
65,Unc,0.0308
66,Unc,0.0645
67,Unc,0.0118
68,Unc,0.057
