Id,Group,Value
1,Con,0.216
2,Con,0.0428
3,Con,0.1163
4,Con,0.1598
5,Con,0.0764
6,Con,0.1717
7,Con,0.1908
8,Con,0.1358
9,Con,0.3
10,Con,0.1331
11,Con,0.218
12,Con,0.0622
13,Con,0.1122
14,Con,0.0171
15,Con,0.1616
16,Con,0.0512
17,Con,0.0639
18,Con,0.1182
19,Con,0.0161
20,Con,0.0305
21,Con,0.1166
22,Con,0.0729
23,Con,0.0692
24,Con,0.0389
25,Con,0.0161
26,Con,0.0295
27,Con,0.2629
28,Con,0.1352
29,Con,0.2412
30,Con,0.1085
31,Con,0.047
32,Con,0.0247
33,Con,0.0231
34,Con,0.1141
35,Unc,0.2077
36,Unc,0.0123
37,Unc,0.0608
38,Unc,0.1061
39,Unc,0.0622
40,Unc,0.1222
41,Unc,0.0821
42,Unc,0.0726
43,Unc,0.2837
44,Unc,0.1189
45,Unc,0.1853
46,Unc,0.0665
47,Unc,0.1526
48,Unc,0.0276
49,Unc,0.1439
50,Unc,0.046
51,Unc,0.0637
52,Unc,0.0699
53,Unc,0.0118
54,Unc,0.0295
55,Unc,0.1126
56,Unc,0.069
57,Unc,0.0637
58,Unc,0.0229
59,Unc,0.0184
60,Unc,0.0254
61,Unc,0.2364
62,Unc,0.1228
63,Unc,0.2373
64,Unc,0.088
65,Unc,0.0434
66,Unc,0.0227
67,Unc,0.0226
68,Unc,0.0973
