Id,Group,Value
1,Con,0.9897
2,Con,0.9874
3,Con,0.9801
4,Con,0.9819
5,Con,0.9778
6,Con,0.9755
7,Con,0.988
8,Con,0.9845
9,Con,0.9801
10,Con,0.9533
11,Con,0.9851
12,Con,0.983
13,Con,0.9856
14,Con,0.983
15,Con,0.9458
16,Con,0.9788
17,Con,0.9922
18,Con,0.9794
19,Con,0.9886
20,Con,0.9847
21,Con,0.979
22,Con,0.9786
23,Con,0.9738
24,Con,0.952
25,Con,0.9591
26,Con,0.9754
27,Con,0.9573
28,Con,0.9652
29,Con,0.9609
30,Con,0.9757
31,Con,0.9658
32,Con,0.9593
33,Con,0.9834
34,Con,0.9346
35,Unc,0.9843
36,Unc,0.9821
37,Unc,0.9805
38,Unc,0.973
39,Unc,0.9754
40,Unc,0.9751
41,Unc,0.9891
42,Unc,0.9848
43,Unc,0.9795
44,Unc,0.9518
45,Unc,0.9826
46,Unc,0.9822
47,Unc,0.9824
48,Unc,0.9816
49,Unc,0.9456
50,Unc,0.9784
51,Unc,0.9865
52,Unc,0.9779
53,Unc,0.9859
54,Unc,0.9806
55,Unc,0.9749
56,Unc,0.9739
57,Unc,0.9704
58,Unc,0.9021
59,Unc,0.948
60,Unc,0.9673
61,Unc,0.9541
62,Unc,0.9648
63,Unc,0.9519
64,Unc,0.9683
65,Unc,0.9529
66,Unc,0.9517
67,Unc,0.9807
68,Unc,0.9331
