Id,Group,Value
1,Con,0.0578
2,Con,0.1534
3,Con,0.0797
4,Con,0.0914
5,Con,0.0201
6,Con,0.074
7,Con,0.1395
8,Con,0.0733
9,Con,0.0819
10,Con,0.0223
11,Con,0.0244
12,Con,0.0142
13,Con,0.0447
14,Con,0.0253
15,Con,0.0098
16,Con,0.0736
17,Con,0.024
18,Con,0.0202
19,Con,0.0432
20,Con,0.0643
21,Con,0.0173
22,Con,0.0515
23,Con,0.0089
24,Con,0.0434
25,Con,0.0651
26,Con,0.0166
27,Con,0.0519
28,Con,0.0371
29,Con,0.0754
30,Con,0.06
31,Con,0.0087
32,Con,0.0246
33,Con,0.037
34,Con,0.0245
35,Unc,0.1003
36,Unc,0.139
37,Unc,0.0886
38,Unc,0.1493
39,Unc,0.0212
40,Unc,0.0763
41,Unc,0.1352
42,Unc,0.0345
43,Unc,0.0915
44,Unc,0.0064
45,Unc,0.0121
46,Unc,0.0248
47,Unc,0.0585
48,Unc,0.0274
49,Unc,0.0131
50,Unc,0.0701
51,Unc,0.003
52,Unc,0.0193
53,Unc,0.0693
54,Unc,0.033
55,Unc,0.0294
56,Unc,0.0359
57,Unc,0.0154
58,Unc,0.113
59,Unc,0.1512
60,Unc,0.0308
61,Unc,0.0139
62,Unc,0.0246
63,Unc,0.0328
64,Unc,0.0251
65,Unc,0.0756
66,Unc,0.0389
67,Unc,0.0346
68,Unc,0.0085
