Id,Group,Value,aligned(Value) for Group,ART(Value) for Group
1,Con,0.216,0.1159779411764705882352941176,61
2,Con,0.0428,-0.0572220588235294117647058824,18
3,Con,0.1163,0.0162779411764705882352941176,44
4,Con,0.1598,0.0597779411764705882352941176,55
5,Con,0.0764,-0.0236220588235294117647058824,35
6,Con,0.1717,0.0716779411764705882352941176,57
7,Con,0.1908,0.0907779411764705882352941176,59
8,Con,0.1358,0.0357779411764705882352941176,52
9,Con,0.3,0.1999779411764705882352941176,68
10,Con,0.1331,0.0330779411764705882352941176,50
11,Con,0.218,0.1179779411764705882352941176,62
12,Con,0.0622,-0.0378220588235294117647058824,24.5
13,Con,0.1122,0.0121779411764705882352941176,41
14,Con,0.0171,-0.0829220588235294117647058824,5
15,Con,0.1616,0.0615779411764705882352941176,56
16,Con,0.0512,-0.0488220588235294117647058824,22
17,Con,0.0639,-0.0361220588235294117647058824,28
18,Con,0.1182,0.0181779411764705882352941176,46
19,Con,0.0161,-0.0839220588235294117647058824,3.5
20,Con,0.0305,-0.0695220588235294117647058824,16
21,Con,0.1166,0.0165779411764705882352941176,45
22,Con,0.0729,-0.0271220588235294117647058824,34
23,Con,0.0692,-0.0308220588235294117647058824,31
24,Con,0.0389,-0.0611220588235294117647058824,17
25,Con,0.0161,-0.0839220588235294117647058824,3.5
26,Con,0.0295,-0.0705220588235294117647058824,14.5
27,Con,0.2629,0.1628779411764705882352941176,66
28,Con,0.1352,0.0351779411764705882352941176,51
29,Con,0.2412,0.1411779411764705882352941176,65
30,Con,0.1085,0.0084779411764705882352941176,40
31,Con,0.047,-0.0530220588235294117647058824,21
32,Con,0.0247,-0.0753220588235294117647058824,11
33,Con,0.0231,-0.0769220588235294117647058824,10
34,Con,0.1141,0.0140779411764705882352941176,43
35,Unc,0.2077,0.1076779411764705882352941176,60
36,Unc,0.0123,-0.0877220588235294117647058824,2
37,Unc,0.0608,-0.0392220588235294117647058824,23
38,Unc,0.1061,0.0060779411764705882352941176,39
39,Unc,0.0622,-0.0378220588235294117647058824,24.5
40,Unc,0.1222,0.0221779411764705882352941176,48
41,Unc,0.0821,-0.0179220588235294117647058824,36
42,Unc,0.0726,-0.0274220588235294117647058824,33
43,Unc,0.2837,0.1836779411764705882352941176,67
44,Unc,0.1189,0.0188779411764705882352941176,47
45,Unc,0.1853,0.0852779411764705882352941176,58
46,Unc,0.0665,-0.0335220588235294117647058824,29
47,Unc,0.1526,0.0525779411764705882352941176,54
48,Unc,0.0276,-0.0724220588235294117647058824,13
49,Unc,0.1439,0.0438779411764705882352941176,53
50,Unc,0.046,-0.0540220588235294117647058824,20
51,Unc,0.0637,-0.0363220588235294117647058824,26.5
52,Unc,0.0699,-0.0301220588235294117647058824,32
53,Unc,0.0118,-0.0882220588235294117647058824,1
54,Unc,0.0295,-0.0705220588235294117647058824,14.5
55,Unc,0.1126,0.0125779411764705882352941176,42
56,Unc,0.069,-0.0310220588235294117647058824,30
57,Unc,0.0637,-0.0363220588235294117647058824,26.5
58,Unc,0.0229,-0.0771220588235294117647058824,9
59,Unc,0.0184,-0.0816220588235294117647058824,6
60,Unc,0.0254,-0.0746220588235294117647058824,12
61,Unc,0.2364,0.1363779411764705882352941176,63
62,Unc,0.1228,0.0227779411764705882352941176,49
63,Unc,0.2373,0.1372779411764705882352941176,64
64,Unc,0.088,-0.0120220588235294117647058824,37
65,Unc,0.0434,-0.0566220588235294117647058824,19
66,Unc,0.0227,-0.0773220588235294117647058824,8
67,Unc,0.0226,-0.0774220588235294117647058824,7
68,Unc,0.0973,-0.0027220588235294117647058824,38
