Id,Group,Value
1,Con,0
2,Con,0
3,Con,0
4,Con,0
5,Con,0
6,Con,0
7,Con,0
8,Con,0
9,Con,0
10,Con,0
11,Con,0
12,Con,0
13,Con,0
14,Con,0
15,Con,0
16,Con,0
17,Con,0
18,Con,0
19,Con,0
20,Con,0
21,Con,0
22,Con,0
23,Con,0
24,Con,0
25,Con,0
26,Con,0
27,Con,0
28,Con,0
29,Con,0
30,Con,0
31,Con,0
32,Con,0
33,Con,0
34,Con,0
35,Unc,0.0415
36,Unc,0.0614
37,Unc,0.0129
38,Unc,0.0624
39,Unc,0.028
40,Unc,0.0682
41,Unc,0.1018
42,Unc,0.1318
43,Unc,0.0355
44,Unc,0.0186
45,Unc,0.0431
46,Unc,0.0033
47,Unc,0.0281
48,Unc,0.0128
49,Unc,0.0113
50,Unc,0.0172
51,Unc,0.0511
52,Unc,0.0694
53,Unc,0.1103
54,Unc,0.0753
55,Unc,0.0395
56,Unc,0.0614
57,Unc,0.1356
58,Unc,0.1872
59,Unc,0.3047
60,Unc,0.2645
61,Unc,0.2919
62,Unc,0.178
63,Unc,0.2877
64,Unc,0.1381
65,Unc,0.2311
66,Unc,0.2248
67,Unc,0.2485
68,Unc,0.0879
