frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
0,168,6,62.1308092513464,168,6,108.205646972138,168,6,107.31898052398,175,6,83.3557834574078,174,6,66.7148497453421,167,6,24.7192677965862,2023/7/20 16:05:59
1,164,6,66.0509763562583,164,6,106.121799403167,164,6,120.06049246224,170,6,98.3883803254386,177,6,74.9881694210862,176,6,29.69333859777,2023/7/20 16:05:59
2,174,6,52.5644886222597,174,6,88.0785664457641,174,6,113.9772829609,172,6,103.506807508327,168,6,72.8101316339487,161,6,29.3767977558003,2023/7/20 16:05:59
3,159,6,77.5220436014671,159,6,65.9585535586723,159,6,90.6895147622295,159,6,86.6034649075048,156,6,57.1639453703859,158,6,29.7645498899075,2023/7/20 16:05:59
4,152,6,47.8996076854662,152,6,59.1664630967737,152,6,51.5536608474107,174,6,72.4821010683287,176,6,45.7088772234555,157,6,20.5580589766685,2023/7/20 16:05:59
5,171,6,31.5643586193153,171,6,59.9110652680923,171,6,53.2200850040758,169,6,65.9174053919862,164,6,41.4464976299161,159,6,17.7788843580241,2023/7/20 16:05:59
6,135,5,45.5680474366742,135,5,32.4435515025673,135,5,81.3455581775002,167,6,45.1813149514103,166,6,29.9338073116332,146,5,21.8029524064839,2023/7/20 16:05:59
7,138,5,18.0686222473038,138,5,76.585343516933,138,5,226.695544011263,165,6,49.3808918381738,160,6,29.3215716477791,107,4,9.66217826036312,2023/7/20 16:05:59
8,165,6,31.8845642768482,165,6,81.6789975608582,165,6,33.4142003392624,147,5,40.6564519733161,141,5,23.1393296764674,90,4,2.46919203280294,2023/7/20 16:05:59
9,171,6,39.3196721976302,171,6,116.270730858691,171,6,35.4716424756419,162,6,27.978171821223,148,5,15.2723628049854,167,6,9.06009793413178,2023/7/20 16:05:59
10,157,6,34.1885467825891,157,6,124.445205226688,157,6,38.3208348957101,158,6,25.6110981138238,129,5,13.8253217448018,156,6,9.79665344216443,2023/7/20 16:05:59
11,154,6,14.8428892528323,154,6,125.5899955995,154,6,27.7971036095773,147,5,15.1669331877171,122,5,7.44471118864356,150,6,8.7871134176807,2023/7/20 16:05:59
12,157,6,36.9321609387486,157,6,178.655870711499,157,6,24.0214825211614,150,6,23.9881614729174,97,4,8.91498089023136,161,6,6.89892458110517,2023/7/20 16:05:59
13,19,1,18.2830333946894,19,1,132.090673213893,19,1,25.4803335159334,107,4,16.5510016303928,94,4,9.38805657561386,84,3,6.4153160218,2023/7/20 16:05:59
14,126,5,14.879626856856,126,5,110.634236952778,126,5,9.45138854824192,140,5,13.453081302887,151,6,14.0043229087822,108,4,4.47163960132352,2023/7/20 16:05:59
15,131,5,34.5635562462282,131,5,123.657922524364,131,5,10.1070717437526,133,5,19.5351774975498,146,5,16.8173056253708,95,4,7.78906079705833,2023/7/20 16:05:59
16,131,5,25.0391091133095,131,5,111.18087778057,131,5,11.9118016650775,145,5,16.9537662372258,163,6,15.8483698676951,131,5,6.88425897846328,2023/7/20 16:05:59
