frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
0,160,6,30.6344340369395,160,6,152.846655523496,160,6,277.356187653515,174,6,118.499284598141,169,6,47.2994937279763,155,6,8.2451732109083,2023/7/20 16:05:58
1,170,6,32.8399923411745,170,6,132.528859009933,170,6,350.539182472353,175,6,71.6953466661309,150,6,29.1818160316796,119,4,5.56215551461498,2023/7/20 16:05:58
2,90,4,46.2131951863007,90,4,114.99251884169,90,4,163.156066553511,79,3,41.4736043785425,123,5,11.1368902913309,140,5,2.73229380403392,2023/7/20 16:05:58
3,84,3,20.5768627181368,84,3,80.2767235958136,84,3,54.7769647092659,122,5,26.4062794683719,76,3,17.1523642355327,156,6,12.1487225554933,2023/7/20 16:05:58
4,129,5,25.5885663985679,129,5,91.1636629389688,129,5,25.0539584165785,131,5,41.9383037617705,70,3,22.1949468061043,55,2,16.087453179132,2023/7/20 16:05:58
5,143,5,24.1958965044595,143,5,55.709500384042,143,5,33.6987524656603,161,6,16.2607272550608,72,3,7.15059297192754,120,5,4.11701973623175,2023/7/20 16:05:58
6,122,5,10.168645179079,122,5,40.4130772649945,122,5,24.7463119046401,120,5,33.651616116487,114,4,6.82136176469202,167,6,6.93715846646423,2023/7/20 16:05:58
7,97,4,14.2444152712341,97,4,48.1833231639034,97,4,40.5058946963727,104,4,33.0748467252026,87,3,18.510173316731,104,4,14.2425022344695,2023/7/20 16:05:58
8,175,6,25.6214309449148,175,6,100.010100961943,175,6,25.1263051418281,137,5,35.8701752529076,164,6,26.2109987788387,110,4,6.06627497999922,2023/7/20 16:05:58
9,146,5,33.1135356808479,146,5,116.284616131846,146,5,31.8117838861117,175,6,34.4359709983113,146,5,14.3254960205992,114,4,5.82454003782098,2023/7/20 16:05:58
10,158,6,25.3317028249435,158,6,101.850086712711,158,6,34.0469688280257,173,6,49.4435782007418,132,5,22.1889374906933,150,6,11.115891091044,2023/7/20 16:05:58
11,114,4,16.2924888413853,114,4,39.5656508776502,114,4,20.2851729549301,130,5,21.5936663489788,126,5,21.3048767696536,147,5,17.9405513224877,2023/7/20 16:05:58
12,64,3,17.6418502987278,64,3,49.127423084436,64,3,64.7459835868605,46,2,13.6553870617542,129,5,15.9523052832833,141,5,13.2381525608273,2023/7/20 16:05:58
13,85,3,21.2221024924007,85,3,31.7147431376892,85,3,128.303803222558,118,4,15.2317057121694,173,6,30.3065843004387,151,6,21.1347677077615,2023/7/20 16:05:58
14,141,5,32.8655288015907,141,5,24.4664558761255,141,5,75.7780627119266,108,4,15.5559515108348,158,6,18.1537822709368,166,6,10.049474558767,2023/7/20 16:05:58
15,143,5,21.1701764051011,143,5,15.3382949168568,143,5,75.4630564563749,138,5,8.71644688319698,99,4,15.9232431312602,41,2,10.02323678157,2023/7/20 16:05:58
16,166,6,30.1870216557074,166,6,86.7112018608904,166,6,57.7424054329454,136,5,30.1577624752141,114,4,20.2468126732876,137,5,6.29538684746635,2023/7/20 16:05:58
17,51,2,19.6121890954668,51,2,79.9671158832395,51,2,31.2926374622743,134,5,25.2077648623214,144,5,15.5128233904256,29,1,6.66386331604638,2023/7/20 16:05:58
18,148,5,24.7423927744908,148,5,17.2331212943821,148,5,13.5407833358783,130,5,14.8583356203747,123,5,17.8611813422289,31,2,9.15333447171975,2023/7/20 16:05:58
19,151,6,31.4615214085998,151,6,27.4888425249876,151,6,16.5595044629745,127,5,21.0491178455688,150,6,16.4360834509017,163,6,8.45171309351354,2023/7/20 16:05:58
20,119,4,38.1999740013718,119,4,21.3655886119631,119,4,24.3581585210553,106,4,11.2048651257582,109,4,10.7181641155095,114,4,5.94660511253372,2023/7/20 16:05:58
21,113,4,24.6430266873794,113,4,68.3987970764801,113,4,15.044280648817,109,4,23.5277935050095,115,4,11.8782218198289,5,1,14.9621433573404,2023/7/20 16:05:58
22,156,6,44.8593870815079,156,6,22.4748110718889,156,6,36.9411236976773,114,4,19.9600574299978,146,5,14.1632735049914,106,4,6.44723083500464,2023/7/20 16:05:58
23,157,6,27.610488345299,157,6,15.4079217633117,157,6,29.8027778222137,75,3,6.31250562332591,101,4,6.83292214929808,150,6,4.29667199204986,2023/7/20 16:05:58
24,139,5,13.8284253173093,139,5,7.6370316686027,139,5,26.7288168830881,123,5,3.44110308892527,99,4,5.09340079220591,142,5,4.86526364220235,2023/7/20 16:05:58
25,145,5,16.8613610129846,145,5,14.3951414746822,145,5,22.274265630427,102,4,7.3063365806375,147,5,8.76724857978988,158,6,5.28583809126713,2023/7/20 16:05:58
26,113,4,16.9377253488151,113,4,2.57318170437319,113,4,23.6424754444258,117,4,5.09711508151432,84,3,7.66616022979978,148,5,5.25477041879198,2023/7/20 16:05:58
27,151,6,14.5368044465631,151,6,21.488374391413,151,6,8.71626850960323,164,6,12.2740694415135,160,6,12.1302641344952,172,6,10.9510642165797,2023/7/20 16:05:58
28,160,6,30.3231621698679,160,6,27.2262562848276,160,6,26.2772779837359,157,6,9.89834854755044,167,6,11.6640240024024,153,6,4.19396765411426,2023/7/20 16:05:58
29,83,3,18.2560803912437,83,3,21.7341164902433,83,3,14.4941821706511,100,4,11.9358956914697,124,5,11.6956357413347,144,5,2.7134916082817,2023/7/20 16:05:58
30,154,6,22.3660900523557,154,6,17.3496040622886,154,6,25.2896984276888,110,4,8.24187129527939,58,2,7.40103369497026,132,5,9.09978260748936,2023/7/20 16:05:58
31,157,6,34.2177918229859,157,6,28.7276161143256,157,6,22.1503374891024,169,6,12.4795634174607,133,5,5.06584474489398,123,5,4.85252373260203,2023/7/20 16:05:58
32,144,5,30.6682967725332,144,5,37.4249669935636,144,5,40.6610384157711,157,6,14.2258042478535,159,6,9.12184347396522,82,3,4.99122267348801,2023/7/20 16:05:58
33,148,5,26.2402498909136,148,5,37.038315534071,148,5,42.4168457471237,153,6,10.740430238668,166,6,7.5321290551649,99,4,2.41240435305064,2023/7/20 16:05:58
34,176,6,22.5476590614384,176,6,32.2992805562311,176,6,48.8302868075929,148,5,14.2419039807089,150,6,12.8411888593888,101,4,3.53187863389431,2023/7/20 16:05:58
35,172,6,34.4610590777969,172,6,34.6092899733685,172,6,51.2881140291572,132,5,21.213163393017,106,4,15.2394250325189,72,3,4.85978433886691,2023/7/20 16:05:58
36,77,3,14.5222836847305,77,3,11.4931982541135,77,3,32.6736940006909,114,4,3.6702861272326,65,3,3.43229652656127,45,2,6.5361760068561,2023/7/20 16:05:58
37,164,6,35.9116789377634,164,6,49.6964471745221,164,6,31.5078780943695,95,4,19.564462384082,105,4,16.2438276126327,163,6,12.291866281717,2023/7/20 16:05:58
38,171,6,30.3446031286551,171,6,19.9956703987744,171,6,13.6705285874545,161,6,10.9042953211108,165,6,10.713790743911,127,5,7.41684404150211,2023/7/20 16:05:58
39,157,6,20.4780363555657,157,6,33.7321412040399,157,6,28.1411790473621,151,6,22.099638421219,152,6,15.6616771020641,117,4,6.66257470292621,2023/7/20 16:05:58
