frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v
frameIndex,thumb_angle,thumb_angle_interval,thumb_v,index_angle,index_angle_interval,index_v,middle_angle,middle_interval,middle_v,ring_angle,ring_interval,ring_v,pinky_angle,pinky_interval,pinky_v,palm_angle,palm_interval,palm_v,date_now
136,164,6,78.8627095631365,164,6,80.8489006067221,164,6,82.1535160416866,162,6,79.8125244449837,164,6,74.7163518264511,173,6,90.0879288163221,2021/12/2 12:25:14
137,173,6,68.2725694588658,173,6,97.6291314253873,173,6,106.07347288099,177,6,106.011077742612,176,6,89.4126451767117,175,6,79.1411030948257,2021/12/2 12:25:14
138,176,6,72.8015914343142,176,6,89.2212985196343,176,6,95.6084791817586,177,6,96.2694762166769,176,6,82.3112736665069,177,6,79.0233627867934,2021/12/2 12:25:14
139,173,6,81.5506434466166,173,6,89.9310099585816,173,6,98.8126720597935,178,6,105.815155262993,177,6,96.9170328339853,175,6,87.8183777880403,2021/12/2 12:25:14
140,167,6,94.5315113661729,167,6,98.8239787270221,167,6,108.376982861965,177,6,116.377792535221,177,6,108.170161847815,178,6,99.2377861716046,2021/12/2 12:25:14
141,169,6,87.0889053901015,169,6,119.873100532147,169,6,127.312292585947,178,6,133.03361094191,179,6,125.368344246858,177,6,107.659766937146,2021/12/2 12:25:14
142,173,6,98.7844333769237,173,6,102.294339083857,173,6,101.544602773801,178,6,98.2720964279571,177,6,87.3244725726969,177,6,89.2368576680009,2021/12/2 12:25:14
143,174,6,102.075917963902,174,6,96.6934249181509,174,6,96.1421490322297,175,6,93.5682779402681,175,6,87.988678787533,177,6,100.475816478209,2021/12/2 12:25:14
144,174,6,123.354900666061,174,6,126.207175166392,174,6,125.956392604596,168,6,120.951279413998,167,6,112.689447738191,176,6,110.939608976251,2021/12/2 12:25:14
145,172,6,156.034374242057,172,6,163.048978737925,172,6,148.733039630475,170,6,121.031855617043,170,6,86.2086430296456,177,6,103.378086593307,2021/12/2 12:25:14
146,175,6,109.766181499694,175,6,119.634884390854,175,6,118.709355551753,176,6,106.853331441431,176,6,96.5089251184431,175,6,97.4299724602461,2021/12/2 12:25:14
147,175,6,110.100917104177,175,6,115.804452600999,175,6,117.602967383222,176,6,107.120433217488,176,6,100.319834164116,177,6,98.0780481800127,2021/12/2 12:25:14
