frameIndex,thumb_x,thumb_y,thumb_z,thumb_v,index_x,index_y,index_z,index_v,middle_x,middle_y,middle_z,middle_v,ring_x,ring_y,ring_z,ring_v,pinky_x,pinky_y,pinky_z,pinky_v,palm_x,palm_y,palm_z,palm_v,date_now
0,36.9483108520508,63.835506439209,-0.786177158355713,22.807422269779,9.95604610443115,49.2111587524414,-38.4220809936523,46.9783903397669,-14.6041469573975,67.1066970825195,-63.8539924621582,5.95323742013749,-49.7668304443359,69.480110168457,-62.3039817810059,12.8025467608091,-78.7330856323242,60.743782043457,-41.5609931945801,12.4607423071346,-36.0823364257813,70.0099411010742,32.4295616149902,6.22293595815902,2022/12/9 16:52:51
1,37.0224914550781,63.965648651123,-0.678493738174438,22.2258624264771,9.82353591918945,49.0583992004395,-37.976001739502,47.4873816721248,-14.6155586242676,67.1860885620117,-63.8705558776855,8.45832544179614,-49.817066192627,69.6355133056641,-62.2861862182617,18.0602885593521,-78.8027496337891,60.908447265625,-41.5228691101074,20.024068337052,-36.0570678710938,70.0548553466797,32.4802742004395,8.31770422644994,2022/12/9 16:52:51
2,37.1220512390137,64.0855026245117,-0.546294629573822,24.3295066722367,9.7252950668335,48.9308891296387,-37.4665069580078,51.2392264018145,-14.5729522705078,67.2475509643555,-63.8544044494629,8.55382451121463,-49.803150177002,69.7372207641602,-62.2498168945313,12.2606878251484,-78.8063735961914,61.0148506164551,-41.4829864501953,12.6922694102893,-36.0168037414551,70.0866317749023,32.5352973937988,8.65303733460439,2022/12/9 16:52:51
3,37.1876449584961,64.1482467651367,-0.423542350530624,18.5906818070567,9.59305477142334,48.8047523498535,-36.9653816223145,50.6832370062076,-14.5500831604004,67.274528503418,-63.8391342163086,4.68742570944735,-49.7983322143555,69.8121643066406,-62.2153778076172,9.57071684332371,-78.829833984375,61.1239738464355,-41.4502143859863,13.1832818033257,-35.9963836669922,70.1077575683594,32.5797958374023,6.19181107721727,2022/12/9 16:52:51
4,37.2818717956543,64.264778137207,-0.279429912567139,24.0613612058471,9.49276828765869,48.7613220214844,-36.4431190490723,49.9412967034676,-14.4969043731689,67.3664627075195,-63.7935218811035,13.1001839168097,-49.7526931762695,69.9131622314453,-62.1468238830566,14.763165927012,-78.8139572143555,61.2432250976563,-41.3997573852539,14.6283781107321,-35.9575233459473,70.146110534668,32.6469459533691,9.87531292681408,2022/12/9 16:52:51
5,37.368049621582,64.336669921875,-0.164586320519447,19.0471276844673,9.39762496948242,48.6921844482422,-35.9539566040039,47.696912654061,-14.444242477417,67.4248504638672,-63.781982421875,9.01265142045042,-49.7149696350098,69.9906158447266,-62.11279296875,10.6732130398938,-78.8125686645508,61.3329467773438,-41.3787956237793,10.3257439910787,-35.9190368652344,70.1498947143555,32.6887054443359,6.64487438279508,2022/12/9 16:52:51
6,37.4284706115723,64.4618988037109,-0.0637403279542923,19.3084948475768,9.28060054779053,48.7104148864746,-35.4796981811523,44.8019014058407,-14.4162178039551,67.5312576293945,-63.7494163513184,12.7127509934217,-49.6923637390137,70.0951919555664,-62.0657577514648,13.0528053272193,-78.8142929077148,61.4356994628906,-41.344856262207,11.9682246690117,-35.9045829772949,70.1992492675781,32.7323837280273,7.61313034445145,2022/12/9 16:52:51
7,37.4787406921387,64.4576110839844,0.0218020677566528,11.3439248511669,9.17813968658447,48.675666809082,-35.0937156677246,36.7616402637483,-14.3892230987549,67.5950241088867,-63.7817764282227,8.00674617969153,-49.6770401000977,70.1785659790039,-62.0726928710938,9.49601984402713,-78.8378067016602,61.5331954956055,-41.347843170166,11.0811251811845,-35.890983581543,70.2214813232422,32.75390625,3.91165422278777,2022/12/9 16:52:51
8,37.5321311950684,64.435905456543,0.0756309852004051,9.06619556738052,9.09231662750244,48.6409149169922,-34.7662048339844,30.739853377084,-14.3638410568237,67.6603164672852,-63.8421363830566,9.34275100303625,-49.6697311401367,70.2731628417969,-62.110897064209,10.7897009093278,-78.8508682250977,61.6101608276367,-41.3693428039551,8.63009855392255,-35.8656158447266,70.2182998657227,32.7560424804688,2.9638459992709,2022/12/9 16:52:51
9,37.5255889892578,64.4450759887695,0.0990584567189217,3.12763637172036,8.96664619445801,48.65966796875,-34.4977416992188,26.902170221958,-14.400951385498,67.7690963745117,-63.9057884216309,13.8829586219875,-49.7224540710449,70.3990631103516,-62.145336151123,15.0877627152262,-78.9150695800781,61.7170295715332,-41.3806266784668,13.6525375977301,-35.883243560791,70.2477722167969,32.7585868835449,3.98175541200046,2022/12/9 16:52:51
10,37.5039596557617,64.4491119384766,0.143603354692459,5.72392054779246,8.85478687286377,48.711311340332,-34.2662544250488,23.9381612804029,-14.4337968826294,67.8971328735352,-63.9491844177246,14.8196827698347,-49.7574996948242,70.5294876098633,-62.1532936096191,14.7581845268084,-78.9686279296875,61.8545875549316,-41.374942779541,16.3906551400352,-35.9073638916016,70.3027267456055,32.780574798584,7.31693115810629,2022/12/9 16:52:51
11,37.4309997558594,64.4323654174805,0.157516404986382,8.60207413643077,8.72681427001953,48.7565155029297,-34.1385116577148,17.662390292645,-14.5211706161499,67.9936218261719,-64.0182723999023,15.9302815781495,-49.8462600708008,70.6209945678711,-62.1756134033203,14.2352057144596,-79.0688171386719,61.9568023681641,-41.3719444274902,16.1417416987564,-35.9639625549316,70.3436660766602,32.7905349731445,8.28516401064143,2022/12/9 16:52:51
12,37.3560523986816,64.4113922119141,0.175901457667351,9.01122576338417,8.64180469512939,48.8365859985352,-34.1019020080566,12.5865740130774,-14.5992679595947,68.126220703125,-64.1092681884766,18.7632727182141,-49.9282569885254,70.7298583984375,-62.2155647277832,15.0461128469683,-79.1598892211914,62.0575561523438,-41.3871612548828,14.9030686031762,-36.0227394104004,70.3798751831055,32.7964019775391,7.97576028954841,2022/12/9 16:52:51
