-0.045221,0.095469,-0.221187,0.969493,0.957636,0.238888,-0.142859,-0.073873,0.974406,-0.016969,-0.034660,-0.221458,0.909528,0.414956,0.022792,-0.007135,0.991214,0.104755,-0.054800,0.059311,0.895463,0.415191,-0.150409,-0.056026,0.985091,0.155578,0.072280,-0.012941
-0.033672,0.099156,-0.219160,0.970053,0.966929,0.197413,-0.154353,-0.047448,0.974786,-0.031568,-0.033469,-0.218349,0.910274,0.413077,0.024490,-0.012995,0.991121,0.106476,-0.054070,0.058466,0.896127,0.415661,-0.147595,-0.048978,0.984649,0.154212,0.077415,-0.026305
-0.033103,0.102132,-0.218193,0.969982,0.970670,0.174540,-0.162250,-0.031804,0.974006,-0.008191,-0.027450,-0.224705,0.909895,0.413746,0.028876,-0.008483,0.991924,0.104808,-0.049016,0.051954,0.896696,0.417343,-0.141452,-0.041876,0.984162,0.150941,0.084205,-0.039391
-0.035519,0.102298,-0.217769,0.969974,0.969268,0.183541,-0.159906,-0.035529,0.974643,-0.022908,-0.027474,-0.220890,0.910537,0.412193,0.027942,-0.015444,0.990888,0.107743,-0.051819,0.062021,0.897083,0.415685,-0.142431,-0.046498,0.984348,0.152067,0.083074,-0.032140
-0.039690,0.101131,-0.217548,0.969985,0.969598,0.181971,-0.159913,-0.034546,0.974689,-0.024230,-0.028332,-0.220434,0.910805,0.411655,0.026269,-0.016835,0.990177,0.109989,-0.053869,0.067448,0.897012,0.413832,-0.145498,-0.054255,0.984571,0.153146,0.080792,-0.025268
-0.034793,0.102284,-0.216799,0.970219,0.970282,0.178266,-0.160525,-0.031709,0.974548,-0.021229,-0.028559,-0.221337,0.909866,0.413906,0.027845,-0.007069,0.990849,0.109372,-0.050715,0.060690,0.897109,0.413694,-0.145352,-0.054096,0.984500,0.153322,0.081743,-0.023862
-0.037139,0.101705,-0.216821,0.970188,0.969422,0.183799,-0.158957,-0.034239,0.974644,-0.024180,-0.028776,-0.220580,0.909949,0.413766,0.026880,-0.008208,0.990454,0.110268,-0.052212,0.064156,0.897272,0.413836,-0.144546,-0.052437,0.984646,0.153175,0.081057,-0.020949
-0.033799,0.100275,-0.217982,0.970199,0.971155,0.171848,-0.162984,-0.027596,0.974597,-0.027807,-0.029867,-0.220216,0.909903,0.413957,0.026633,-0.002839,0.990979,0.109640,-0.051028,0.057749,0.898459,0.410580,-0.145572,-0.054805,0.984854,0.151898,0.080684,-0.021899
-0.035503,0.100195,-0.222396,0.969144,0.972750,0.159653,-0.165762,-0.028131,0.973917,-0.046570,-0.034000,-0.219454,0.913637,0.405671,0.022502,-0.013856,0.989490,0.112793,-0.053272,0.073138,0.903909,0.400088,-0.141602,-0.053168,0.986153,0.141580,0.084610,-0.017245
-0.020559,0.104465,-0.246698,0.963226,0.972917,0.154040,-0.169193,-0.032846,0.970163,-0.070102,-0.042125,-0.228245,0.910959,0.412117,0.016524,-0.006365,0.991911,0.086573,-0.056222,0.073869,0.906144,0.398057,-0.129659,-0.060351,0.990359,0.107408,0.086241,-0.014676
